sample_id,filename,scenario_type,rock_height_m,foul_height_m,FI_percent,FI_class,FI_class_legacy,bal_rock_eps,bal_rock_sigma,bal_foul_eps_base,bal_foul_sigma_base,rock_count,type
1020,s_1020.in,granular,0.3310863220428816,0.0,22.253992263173846,MF,MF,5.0,0.001,7.560766297270611,0.006810271636809774,56,master_pattern
1021,s_1021.in,granular,0.30515061453657055,0.0,27.29186436755877,MF,MF,5.0,0.001,6.818994507921158,0.005589281924202337,56,master_pattern
1022,s_1022.in,granular,0.28683365348108186,0.0,20.905526817625386,MF,MF,5.0,0.001,6.249354959917112,0.003226240956144193,56,master_pattern
1023,s_1023.in,granular,0.3753329269358868,0.0,35.62473437253216,MF,MF,5.0,0.001,6.794253620875718,0.003405014174423038,56,master_pattern
1024,s_1024.in,granular,0.4120549100398663,0.0,22.209894626330367,MF,MF,5.0,0.001,6.463623065595726,0.004980544326444336,56,master_pattern
1025,s_1025.in,granular,0.2887689735775265,0.0,37.47209549695698,MF,MF,5.0,0.001,7.043849246761896,0.00677969899144762,56,master_pattern
1026,s_1026.in,granular,0.43980653911823075,0.0,23.580573452176868,MF,MF,5.0,0.001,6.533983125417863,0.0053079351514190385,56,master_pattern
1027,s_1027.in,granular,0.30988747590525845,0.0,35.37442773666889,MF,MF,5.0,0.001,6.707631761454884,0.0046267534018794645,56,master_pattern
1028,s_1028.in,granular,0.4450953241951813,0.0,22.21814239238188,MF,MF,5.0,0.001,6.32522959558887,0.004628397301767086,56,master_pattern
1029,s_1029.in,granular,0.39899768327216373,0.0,32.25261781747794,MF,MF,5.0,0.001,7.0036272433083635,0.00821212474833347,56,master_pattern
