sample_id,filename,scenario_type,rock_height_m,foul_height_m,FI_percent,FI_class,FI_class_legacy,bal_rock_eps,bal_rock_sigma,bal_foul_eps_base,bal_foul_sigma_base,rock_count,type
1030,s_1030.in,granular,0.36956475400469063,0.0,59.157722153583926,F,HF,5.0,0.001,6.377267538622897,0.009591760423913319,56,master_pattern
1031,s_1031.in,granular,0.4226647561707151,0.0,58.83391780677272,F,HF,5.0,0.001,6.897544170291359,0.0031408397438723538,56,master_pattern
1032,s_1032.in,granular,0.27952691191930856,0.0,43.767704666491966,F,HF,5.0,0.001,7.670284224308761,0.004405542006780563,56,master_pattern
1033,s_1033.in,granular,0.38991332543380336,0.0,55.130753333765405,F,HF,5.0,0.001,7.25886335027931,0.005180842989687214,56,master_pattern
1034,s_1034.in,granular,0.4045879067900062,0.0,55.02828758701708,F,HF,5.0,0.001,6.63234923148178,0.005521583163260726,56,master_pattern
1035,s_1035.in,granular,0.4064276571295018,0.0,47.144345549674696,F,HF,5.0,0.001,7.508561203990531,0.003291846916795001,56,master_pattern
1036,s_1036.in,granular,0.4291527500292596,0.0,47.51899767559387,F,HF,5.0,0.001,7.2284473105058105,0.003418671074143147,56,master_pattern
1037,s_1037.in,granular,0.33321240286904785,0.0,58.78723715446293,F,HF,5.0,0.001,6.976126989019802,0.004424744699534154,56,master_pattern
1038,s_1038.in,granular,0.3275401752577036,0.0,59.52088514694063,F,HF,5.0,0.001,6.095994643500764,0.002135995899260844,56,master_pattern
1039,s_1039.in,granular,0.3106991272983935,0.0,53.605764097028036,F,HF,5.0,0.001,7.9101119458683185,0.007718228852198409,56,master_pattern
