sample_id,filename,scenario_type,rock_height_m,foul_height_m,FI_percent,FI_class,FI_class_legacy,bal_rock_eps,bal_rock_sigma,bal_foul_eps_base,bal_foul_sigma_base,rock_count,type
1000,s_1000.in,granular,0.2698279207849634,0.0,3.8867832135028197,CL,MC,5.0,0.001,6.935815485801684,0.00627746993176702,56,master_pattern
1001,s_1001.in,granular,0.3842486936460533,0.0,4.891545304561987,CL,MC,5.0,0.001,6.9776714143239715,0.0036240976858724298,56,master_pattern
1002,s_1002.in,granular,0.34161281165935264,0.0,3.330991877856796,CL,MC,5.0,0.001,7.948579590755657,0.005899808594151253,56,master_pattern
1003,s_1003.in,granular,0.3331456298999945,0.0,2.3080693181867984,CL,MC,5.0,0.001,6.046586897447543,0.008668050142276371,56,master_pattern
1004,s_1004.in,granular,0.43911829772317446,0.0,2.3424737049875404,CL,MC,5.0,0.001,6.352364151157062,0.007589246076610464,56,master_pattern
1005,s_1005.in,granular,0.26857205480491786,0.0,0.5442785565619146,CL,CL,5.0,0.001,6.0330773686773345,0.008832393005890896,56,master_pattern
1006,s_1006.in,granular,0.35961930322511393,0.0,1.455080193228484,CL,MC,5.0,0.001,6.584076544361059,0.0045556222191954696,56,master_pattern
1007,s_1007.in,granular,0.3738860673990707,0.0,3.2929911176895383,CL,MC,5.0,0.001,7.738868417139367,0.0043504554853476185,56,master_pattern
1008,s_1008.in,granular,0.3060776538717445,0.0,2.2910240429027473,CL,MC,5.0,0.001,7.968484848053008,0.0020955531033669947,56,master_pattern
1009,s_1009.in,granular,0.2649986359893865,0.0,0.7145038414664262,CL,CL,5.0,0.001,7.586885944383541,0.00929274480696779,56,master_pattern
